"","CLUSTERID1","CLUSTERID2","DeltaMZ","MEH","Cosine","OtherScore","ComponentIndex"
"353","3656","11494",-343.104,0,0.764614,0.547084,1
"354","8492","10802",-121.091,0,0.655101,0.490482,1
"355","2000","12332",-550.153,0,0.655281,0.414327,1
"356","6595","9753",183.65,0,0.607652,0.492105,1
"357","8337","9336",-36.997,0,0.638783,0.404923,1
"358","6135","12382",-434.23,0,0.846526,0.636232,1
"359","11402","12332",-162.052,0,0.668217,0.442471,1
"360","8337","12412",-400.053,0,0.795959,0.56461,1
"361","3431","4818",-42.023,0,0.6607,0.40554,1
"362","8849","9352",-18.991,0,0.757194,0.604439,1
"363","3796","7722",-102.064,0,0.643144,0.425173,1
"364","8849","9336",-17.033,0,0.740566,0.563129,1
"365","7605","8218",-14.999,0,0.703899,0.531761,1
"366","33","7315",-224.693,0,0.738921,0.495023,1
"367","7621","7722",-1.99899,0,0.740876,0.55402,1
"368","1863","3796",-67.015,0,0.789544,0.586907,1
"369","526","8807",-244.167,0,0.618129,0.448996,1
"370","5469","8168",-61.148,0,0.728932,0.506224,1
"371","778","11402",-423.039,0,0.910764,0.724496,1
"372","2786","6823",-124.036,0,0.641687,0.423826,1
"373","5333","9343",-112.06,0,0.763097,0.607726,1
"374","3494","7675",-417.301,0,0.717379,0.609227,1
"375","3656","4303",-18.013,0,0.727807,0.5039,1
"376","3419","3861",-17.728,0,0.697633,0.47919,1
"377","6548","10521",-146.005,0,0.769271,0.529846,1
"378","8786","12094",-271.915,0,0.65665,0.417048,1
"379","3697","7722",-104.043,0,0.646213,0.422186,1
"380","1194","5730",-146.936,0,0.700347,0.425778,1
"381","2364","2780",-17.028,0,0.7397,0.50604,1
"382","2364","2786",-18.018,0,0.845609,0.631608,1
"383","6135","8849",-70.118,0,0.741815,0.510516,1
"384","2000","3796",-66.013,0,0.62402,0.428778,1
"385","3688","5322",-46.044,0,0.70472,0.521374,1
"386","10521","11089",-51.996,0,0.723598,0.4334,1
"387","3699","8889",-142.066,0,0.616422,0.402437,1
"388","6135","8337",-50.154,0,0.80119,0.549116,1
"389","3229","8359",-141.098,0,0.745844,0.577656,1
"390","8218","11494",-223.982,0,0.751661,0.497864,1
"391","1863","7722",-169.079,0,0.624988,0.473005,1
"392","3697","11992",-394.019,0,0.879064,0.670381,1
"393","3110","3229",-2.94501,0,0.763578,0.593475,1
"394","3699","8399",-122.054,0,0.788166,0.570634,1
"395","3782","6548",-77.018,0,0.7722,0.523663,1
"396","3699","11992",-394.055,0,0.642438,0.401436,1
"397","3110","11250",-323.134,0,0.673931,0.450693,1
"398","12314","12378",-20.925,0,0.85597,0.632113,1
"399","12314","12379",-21.92,0,0.686767,0.505023,1
"400","4310","9762",-163.056,0,0.699644,0.688152,1
"401","9380","12378",-341.067,0,0.677014,0.505121,1
"402","778","3229",-78.912,0,0.623632,0.484168,1
"403","8399","8889",-20.012,0,0.711811,0.540722,1
"404","3110","8786",-161.075,0,0.75618,0.515808,1
"405","82","9174",-269.079,0,0.754679,0.626991,1
"406","2786","8889",-182.055,0,0.600646,0.443166,1
"407","368","4818",-136.072,0,0.677331,0.405697,1
"408","9784","9786",0.00299072,0,0.627164,0.430761,1
"409","8337","8786",-18.013,0,0.845448,0.655739,1
"410","7621","11015",-162.058,0,0.655156,0.450396,1
"411","9343","11367",-161.1,0,0.612337,0.469885,1
"412","8633","11686",107.853,0,0.731933,0.531443,1
"413","526","8337",-225.175,0,0.6241,0.488236,1
"414","2786","10064",-236.023,0,0.704691,0.404257,1
"415","3697","8889",-142.03,0,0.643909,0.440139,1
"416","2780","10064",-237.013,0,0.721499,0.414152,1
"417","3431","11992",-406.071,0,0.681637,0.450025,1
"418","4310","8359",-105.102,0,0.75569,0.539235,1
"419","8786","12314",-343.105,0,0.694604,0.466626,1
"420","7167","11295",-220.06,0,0.676506,0.431398,1
"421","3796","6252",-70.057,0,0.665431,0.480196,1
